Strain,Ev,Acc,Rep,Week,D1Pop,D2Pop,D3Pop,D4Pop,D1FSC,D2FSC,D3FSC,D4FSC,Growth.Rate,Mean.FSC,PE.Count,Chl.a.read,Chl.a.per.cell,FvFm.0,PEDay,FvFm.PE,P,alpha,beta,E_k,P_I,O2.Count,O2.rate.light,O2.rate.dark,pgO2.cell.hr.light,pgO2.cell.hr.dark,g.sp.acc.bestfit,G_Old,G_O,pgC.cell,pgN.cell,Day1-redF,Day2-redF,Day3-redF,Day4-redF,Fm
1393,24,18,D,24,17512.81012,15926.59937,14254.26111,18469.30062,8467.198929,8327.988412,8424.2705,8464.397517,0.259054041,8420.96384,13084,,0.151327978,0.356,,0.516,236.254335,0.94080734,NA,251.11872,89.4041216,,,,,,,,,,,4180.668433,4301.349344,4289.317355,5107.63633,9412
1393,24,18,E,24,27530.45435,28125.65182,24626.9311,31931.92728,8521.935902,8329.838893,8335.973864,8260.564502,0.25976576,8362.07829,6318,,0.161438471,0.344,,0.55,267.159647,0.91663485,NA,291.457004,88.228271,,,,,,,,,,,4046.062237,4160.563484,4117.66379,4424.614997,11709
1393,24,18,F,24,21100.56364,23045.95177,21433.74826,27643.39051,8735.39558,8414.770359,8298.380581,8173.238802,0.254419957,8405.446331,16952,,0.155735176,0.359,,0.585,279.849063,1.0035938,NA,278.846943,96.2674137,,,,,,,,,,,3941.924403,3971.517465,4048.072405,4470.357267,10181
2951,24,18,A,24,4516.880767,6268.705178,12150.4142,27734.2766,8633.542198,8169.51511,8124.462009,7451.868482,0.743549624,8094.84695,12366,,0.253926803,0.503,,0.642,199.322716,1.2014181,NA,165.906204,107.435675,,,,,,,,,,,3530.769186,3727.55084,3722.83777,3493.512001,8668
2951,24,18,B,24,5088.213996,7260.630292,11169.32641,27457.98009,7980.798309,7990.726005,7597.084718,6969.099455,0.665095099,7634.427122,10970,,0.220605132,0.564,,0.691,178.579352,1.05531352,NA,169.21924,94.7502841,,,,,,,,,,,3281.462417,3668.778887,3491.909753,3336.502827,11490
2951,24,18,C,24,3691.153613,5694.077344,8732.622662,24129.97801,8208.384823,8309.240423,7926.289047,7286.068007,0.722014198,7932.495575,14507,,0.22610017,0.545,,0.693,203.211128,1.24694013,NA,162.967831,111.089206,,,,,,,,,,,3259.632761,3703.020199,3584.489709,3377.260837,10406
2951,24,18,D,24,2643.262763,5618.073292,9705.260551,23658.44232,8179.717397,8656.459271,8222.976624,8065.418565,0.718865623,8281.142964,13810,,0.247648117,0.409,,0.63,176.672106,1.03337274,NA,170.966485,92.9692661,,,,,,,,,,,3337.441804,3755.765094,3580.755114,3677.324137,9607
2951,24,18,E,24,6817.194368,9619.88801,19503.76473,47528.73443,7813.153292,8317.072762,7915.446549,7168.35094,0.79875092,7803.505886,9945,,0.289580954,0.464,,0.71,204.816433,1.48371844,NA,138.042655,126.911605,,,,,,,,,,,2934.933827,3493.511241,3398.40973,3303.33782,12222
2951,24,18,F,24,4209.778026,7712.864993,12764.51934,31523.8567,7954.166148,8286.720898,8041.966334,7501.645407,0.703927451,7946.124697,9823,,0.230074445,0.424,,0.647,157.461762,1.05731993,NA,148.92537,92.2648431,,,,,,,,,,,2943.134085,3474.880929,3409.203373,3329.936462,12066
1393,30,18,A,24,33074.37831,31407.09613,33610.09924,40629.55814,7777.282747,7683.600603,7608.320444,7526.706941,0.128730988,7648.977684,2444,,0.229153247,0.247,,0.452,291.787862,1.35552501,NA,215.258192,126.575279,,,,,,,,,,,5229.721709,5520.348496,6116.040881,6073.225135,14442
