Light,Strain,Ev,Acc,Rep,ExptDay,CellspmL,FSC,RedF,Chl.volextr,ChlReading,ChlperCell,Fm,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
100,2951,24,18,A,4,323989,8059.212694,4464.085043,,,,17557,0.523,195.009857,1.81E+00,204.9995236,3.622127339,2.04E-09,2.201874944,0.08276227,1.86E-07,93.10225552,21.93446419
100,2951,24,18,B,4,293002,8159.69055,3855.313213,,,,14915,0.547,174.8238206,1.39E+00,189.843598,4.431665141,1.08E-08,1.693800242,0.07163024,3.75E-07,112.0814564,16.89320089
100,2951,24,18,C,4,151020,7953.774103,3722.86247,,,,6970,0.523,196.5206225,1.81E+00,207.9078424,4.303524165,5.27E-09,2.171900756,0.093448152,4.16E-07,95.72621672,21.64034548
100,2951,24,18,D,4,222933,8143.700144,4493.494276,,,,12356,0.512,185.002014,1.82E+00,192.6336046,4.989234164,2.02E-08,2.217771462,0.129355619,2.52E-06,86.85908709,22.08024514
100,2951,24,18,E,4,181921,7891.392483,3798.5675,,,,7578,0.512,180.580904,1.84E+00,187.9012317,3.916245722,5.50E-09,2.197636263,0.104477511,7.52E-07,85.5015158,21.87670346
100,2951,24,18,F,4,222449,8159.447255,3880.049846,,,,9819,0.527,168.7137433,1.61E+00,176.2223375,3.990563086,9.03E-09,1.971754491,0.098237157,9.93E-07,89.37336687,19.6356709
100,1391,24,24,A,4,259455,9303.476626,11583.40325,,,,36161,0.519,108.1721207,8.08E-01,132.049095,5.262126937,2.64E-07,0.836467386,0.041813602,1.01E-06,157.8652046,8.35350372
100,1391,24,24,B,4,274350,8956.964323,9378.269163,,,,30659,0.52,61.99970748,5.08E-01,82.41906861,9.473021268,1.27E-04,0.443728376,0.051295422,0.00013154,185.7421638,4.433001509
100,1391,24,24,C,4,249363,9540.591216,9792.237825,,,,25581,0.502,73.74204088,6.18E-01,97.96842881,11.3874601,1.36E-04,0.52813384,0.061860186,0.000141592,185.4992454,5.276228248
100,1391,24,24,D,4,269873,9425.063841,9889.04732,,,,27141,0.495,74.18686571,5.82E-01,103.1716214,12.82129067,1.97E-04,0.507607784,0.055409557,9.52E-05,203.2506683,5.071985963
100,1391,24,24,E,4,253580,9218.59753,10026.06488,,,,28040,0.51,59.60760455,4.51E-01,83.71304613,10.52229035,2.10E-04,0.399640112,0.042088426,7.78E-05,209.4710804,3.993367904
100,1391,24,24,F,4,259839,9089.950475,9579.069724,,,,22973,0.493,57.29364987,5.34E-01,73.25076934,9.042527392,1.90E-04,0.439548176,0.063459743,0.00044845,166.6501497,4.390213723
100,2951,24,24,A,4,142261,9069.817679,5989.612192,,,,10276,0.556,77.12423517,9.76E-01,78.14522423,1.028350194,3.50E-10,1.283686489,0.050600274,2.47E-07,60.87563036,12.72263262
100,2951,24,24,B,4,212943,8507.793551,4576.208584,,,,11324,0.566,73.35272912,8.57E-01,74.92579554,1.016802756,4.20E-10,1.082740949,0.03972978,1.61E-07,69.20011254,10.7526653
100,2951,24,24,C,4,210950,8468.743733,4791.334889,,,,10781,0.55,89.24906278,9.09E-01,96.26086996,6.211256798,4.57E-06,0.972032784,0.126696559,0.000256456,99.03047667,9.687423422
100,2951,24,24,D,4,97321,8877.580909,6773.421881,,,,6234,0.535,87.9571211,1.07E+00,90.21593132,3.208965609,1.07E-06,1.325172526,0.110860827,7.22E-05,68.07863091,13.15723266
100,2951,24,24,E,4,84867,7753.851346,4632.026221,,,,4356,0.545,89.04952712,9.25E-01,93.37848974,2.480133584,2.34E-08,1.071984068,0.063969223,2.88E-06,87.10809476,10.6729953
100,2951,24,24,F,4,99457,8244.069428,4846.078341,,,,4992,0.539,92.72602,1.13E+00,94.20294185,0.568297966,3.25E-12,1.432217392,0.024330458,1.62E-09,65.7741921,14.21283366
100,1391,24,30,A,4,325589,9074.963251,11637.17816,,,,30987,0.45,42.13889167,4.70E-01,45.22171506,4.523776963,5.80E-05,0.490833981,0.105361033,0.00347245,92.13240482,4.889155469
100,1391,24,30,B,4,426203,8937.53903,9637.365307,,,,36143,0.53,25.43744809,3.33E-01,23.91174504,1.726827954,8.83E-06,0.714831496,0.245666235,0.02698861,33.45088341,6.942716563
100,1391,24,30,C,4,405504,8652.23325,11263.7833,,,,36043,0.546,34.50148237,4.00E-01,36.2485446,3.327099473,3.55E-05,0.438485564,0.094342392,0.003511719,82.66758956,4.363592413
100,1391,24,30,D,4,367167,8353.766033,12612.48644,,,,36095,0.498,37.30362488,3.60E-01,41.89071915,3.68759178,2.79E-05,0.363721479,0.056561844,0.000668506,115.1725196,3.628102188
100,1391,24,30,E,4,431517,8684.245947,11001.78835,,,,41318,0.531,30.32953965,3.35E-01,32.66945108,3.117527652,4.43E-05,0.342546074,0.068156899,0.002390145,95.3724288,3.412962571
100,1391,24,30,F,4,460111,8500.701266,10271.83401,,,,40547,0.506,36.59834043,3.28E-01,41.95760784,3.444358251,1.86E-05,0.330915371,0.043697813,0.000275536,126.7925626,3.302309408
100,2951,24,30,A,4,296194,8162.125649,7037.566187,,,,27158,0.504,41.38326924,5.07E-01,40.89230146,2.201326743,1.57E-06,0.77298396,0.139269378,0.001445725,52.90187583,7.639069088
100,2951,24,30,B,4,195457,8137.419692,6329.116725,,,,14408,0.55,45.77513228,4.93E-01,45.65728384,2.561307459,2.00E-06,0.671172929,0.103209722,0.00062967,68.02611056,6.66379741
100,2951,24,30,C,4,132098,8184.493487,6603.620864,,,,9562,0.518,48.57833315,5.14E-01,52.20325226,5.4865631,7.69E-05,0.541414385,0.117565701,0.003671885,96.42014278,5.394814883
100,2951,24,30,D,4,211423,7271.273952,9759.953496,,,,27331,0.53,38.69681297,4.36E-01,37.99689465,3.110421682,1.83E-05,0.623341205,0.15268326,0.006483232,60.95681518,6.178088454
100,2951,24,30,E,4,190470,8263.410035,6393.554319,,,,14847,0.511,37.84061437,4.76E-01,37.16408505,2.303544267,3.61E-06,0.75952172,0.167418356,0.003947151,48.93090487,7.491211267
100,2951,24,30,F,4,144599,8133.565588,6650.217329,,,,10689,0.5,40.26108152,4.64E-01,40.08717795,1.980914913,9.46E-07,0.743930748,0.121272467,0.00085844,53.88563126,7.355066308
100,1391,24,18,A,7,63476,10051.29138,5833.175863,4.5,2.48,0.1953509,3983,0.412,139.454016,1.12E+00,156.8989839,2.146020894,4.41E-10,1.253380112,0.027935769,8.21E-09,125.1806874,12.50720736
100,1391,24,18,B,7,216116,10036.87331,4963.645003,4.5,5.43,0.125626728,11854,0.465,156.6579488,1.18E+00,189.6522656,4.725023118,1.60E-08,1.234010397,0.039875652,7.56E-08,153.6877372,12.32271858
100,1391,24,18,C,7,150118,10405.50778,5663.878662,4.5,4.88,0.162538708,9189,0.447,151.7340582,1.21E+00,179.6969129,4.452363803,1.55E-08,1.253700378,0.043768704,1.20E-07,143.3332206,12.51670201
100,1391,24,18,D,7,111216,10148.65817,5697.499522,4.5,4.06,0.182528068,6533,0.426,147.54753,1.19E+00,171.8076238,3.040522473,2.06E-09,1.250946078,0.032725607,2.14E-08,137.3421499,12.48740158
100,1391,24,18,E,7,136192,9967.663139,5793.861037,4.5,4.2,0.154193782,10595,0.492,142.054953,1.07E+00,172.468544,4.957742012,3.76E-08,1.116907085,0.041400412,1.71E-07,154.4161966,11.15348314
